Customer ID,Item Purchased,Category,Purchase Amount (USD),Size,Color,Review Rating,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method
73,Dress,Clothing,26,M,Olive,2.9,Store Pickup,Yes,Yes,21,Bank Transfer
74,Pants,Clothing,85,M,Teal,2.7,Free Shipping,Yes,Yes,43,Bank Transfer
75,Gloves,Accessories,58,L,Violet,4.5,Express,Yes,Yes,3,Cash
76,Scarf,Accessories,85,M,Blue,2.7,Free Shipping,Yes,Yes,21,Credit Card
77,Hat,Accessories,43,S,Teal,4.2,Free Shipping,Yes,Yes,32,Venmo
78,Dress,Clothing,53,L,Gold,3.3,Next Day Air,Yes,Yes,36,Debit Card
79,Skirt,Clothing,91,M,Maroon,4.7,Free Shipping,Yes,Yes,50,Venmo
80,Jacket,Outerwear,96,M,Olive,2.6,2-Day Shipping,Yes,Yes,43,Bank Transfer
81,Sandals,Footwear,72,XL,Blue,3.3,Store Pickup,Yes,Yes,24,Credit Card
82,Shoes,Footwear,96,L,Maroon,2.6,Express,Yes,Yes,36,Credit Card
83,Pants,Clothing,28,S,Olive,4,2-Day Shipping,Yes,Yes,21,Credit Card
84,Dress,Clothing,40,M,Turquoise,4.1,Standard,Yes,Yes,34,Bank Transfer
85,Coat,Outerwear,32,S,Peach,4.4,Standard,Yes,Yes,42,Bank Transfer
86,Sunglasses,Accessories,95,M,Charcoal,4.5,Next Day Air,Yes,Yes,2,Debit Card
87,Hoodie,Clothing,41,L,Pink,3.7,2-Day Shipping,Yes,Yes,47,Cash
88,Shoes,Footwear,53,M,Green,3.7,2-Day Shipping,Yes,Yes,44,Debit Card
89,T-shirt,Clothing,47,M,Orange,3.5,Free Shipping,Yes,Yes,35,Credit Card
90,Jacket,Outerwear,83,XL,Pink,3.6,Next Day Air,Yes,Yes,15,Cash
91,Hat,Accessories,48,L,Violet,2.9,Express,Yes,Yes,29,Credit Card
92,Scarf,Accessories,99,S,Green,4.6,Standard,Yes,Yes,18,Credit Card
93,Jacket,Outerwear,87,M,Olive,4.4,2-Day Shipping,Yes,Yes,13,Venmo
94,Sweater,Clothing,62,M,Purple,4.5,Standard,Yes,Yes,46,Credit Card
95,Skirt,Clothing,76,S,Silver,4.6,Free Shipping,Yes,Yes,28,Credit Card
96,Sneakers,Footwear,100,L,Pink,3.8,Free Shipping,Yes,Yes,48,PayPal
97,Gloves,Accessories,73,S,Gold,3.6,Express,Yes,Yes,43,Venmo
98,Shoes,Footwear,92,M,Teal,4.8,Store Pickup,Yes,Yes,37,Cash
99,Jeans,Clothing,67,XL,Teal,2.6,Next Day Air,Yes,Yes,20,Bank Transfer
100,Hoodie,Clothing,40,XL,Indigo,3.7,Express,Yes,Yes,33,Debit Card
101,Sunglasses,Accessories,98,M,Maroon,2.7,Express,Yes,Yes,31,Cash
102,Coat,Outerwear,85,XL,White,4.6,Express,Yes,Yes,50,Credit Card
103,Socks,Clothing,67,L,Violet,4.8,Next Day Air,Yes,Yes,35,Credit Card
104,Boots,Footwear,89,L,Red,4,Next Day Air,Yes,Yes,22,Venmo
105,Sunglasses,Accessories,24,L,Pink,4.4,2-Day Shipping,Yes,Yes,1,PayPal
106,Backpack,Accessories,96,M,Charcoal,3.6,Next Day Air,Yes,Yes,4,Bank Transfer
107,Jacket,Outerwear,35,L,White,3.7,Standard,Yes,Yes,31,Credit Card
108,Sneakers,Footwear,67,L,Olive,3.1,Next Day Air,Yes,Yes,46,PayPal
109,Socks,Clothing,79,L,Purple,3.4,Next Day Air,Yes,Yes,32,Bank Transfer
110,T-shirt,Clothing,85,M,Violet,2.6,Next Day Air,Yes,Yes,43,Bank Transfer
111,Backpack,Accessories,26,M,Black,4,Standard,Yes,Yes,26,Venmo
112,Belt,Accessories,75,L,Purple,5,Free Shipping,Yes,Yes,9,Credit Card
113,Gloves,Accessories,65,M,Red,4.3,Free Shipping,Yes,Yes,28,PayPal
114,Hat,Accessories,54,L,Maroon,3.1,Next Day Air,Yes,Yes,20,PayPal
115,Coat,Outerwear,95,S,Blue,3.7,Store Pickup,Yes,Yes,9,Cash
116,Skirt,Clothing,94,M,Gray,3.8,Standard,Yes,Yes,48,Debit Card
117,Shoes,Footwear,86,S,Blue,3.4,Free Shipping,Yes,Yes,12,Venmo
118,Sandals,Footwear,32,L,Yellow,4.6,Express,Yes,Yes,29,Cash
119,Sweater,Clothing,45,L,Orange,4.8,2-Day Shipping,Yes,Yes,27,Cash
120,Coat,Outerwear,76,M,Orange,4.3,Express,Yes,Yes,44,Cash
121,Hat,Accessories,84,L,Red,4,Express,Yes,Yes,32,Bank Transfer
122,Shorts,Clothing,72,M,Olive,4.2,Standard,Yes,Yes,11,Cash
123,Backpack,Accessories,40,L,Brown,4.8,2-Day Shipping,Yes,Yes,44,Cash
124,Sweater,Clothing,89,L,Brown,3.1,Free Shipping,Yes,Yes,46,Cash
125,Sweater,Clothing,86,M,Gray,3.1,Next Day Air,Yes,Yes,50,PayPal
126,Shorts,Clothing,54,M,Indigo,3.6,Next Day Air,Yes,Yes,45,Venmo
127,Shorts,Clothing,36,L,Pink,3.9,Store Pickup,Yes,Yes,48,Cash
128,Sweater,Clothing,89,M,Gray,4.8,Next Day Air,Yes,Yes,26,Credit Card
129,Scarf,Accessories,32,M,Gold,4.7,Standard,Yes,Yes,21,Credit Card
130,Dress,Clothing,67,XL,Olive,4.2,2-Day Shipping,Yes,Yes,49,PayPal
131,Scarf,Accessories,39,L,Violet,3.7,Next Day Air,Yes,Yes,13,PayPal
132,Skirt,Clothing,29,L,Indigo,3.9,Standard,Yes,Yes,46,Credit Card
133,Backpack,Accessories,58,M,Orange,4.7,2-Day Shipping,Yes,Yes,42,PayPal
134,Sweater,Clothing,65,M,Violet,2.5,Next Day Air,Yes,Yes,25,Venmo
135,Hat,Accessories,94,L,Gray,4.9,Store Pickup,Yes,Yes,25,Cash
136,Sandals,Footwear,81,M,Purple,4.1,Express,Yes,Yes,12,PayPal
137,Blouse,Clothing,86,M,White,3.3,Free Shipping,Yes,Yes,4,Debit Card
138,Sneakers,Footwear,43,M,Turquoise,4.7,Free Shipping,Yes,Yes,38,PayPal
139,Skirt,Clothing,29,M,Maroon,4.4,Store Pickup,Yes,Yes,42,Bank Transfer
140,Coat,Outerwear,95,M,White,3.8,Store Pickup,Yes,Yes,30,Venmo
141,Shirt,Clothing,28,L,Yellow,3.9,2-Day Shipping,Yes,Yes,50,Credit Card
142,Gloves,Accessories,46,M,Turquoise,4.9,Free Shipping,Yes,Yes,45,PayPal
143,Jacket,Outerwear,58,L,Violet,3.1,Free Shipping,Yes,Yes,33,Credit Card
144,Coat,Outerwear,48,M,Beige,2.7,Store Pickup,Yes,Yes,25,PayPal
145,Shoes,Footwear,43,M,Silver,3.2,Express,Yes,Yes,25,Cash
146,Jewelry,Accessories,95,M,Teal,4.5,Standard,Yes,Yes,44,Debit Card
147,Skirt,Clothing,30,S,Black,4,Standard,Yes,Yes,21,Venmo
148,Shoes,Footwear,64,M,Purple,3.5,2-Day Shipping,Yes,Yes,31,Bank Transfer
149,Gloves,Accessories,90,M,Gray,2.6,Store Pickup,Yes,Yes,47,Debit Card
150,Pants,Clothing,76,M,White,3.2,Free Shipping,Yes,Yes,14,PayPal
151,Boots,Footwear,96,L,Cyan,4.9,Standard,Yes,Yes,17,Debit Card
152,Sunglasses,Accessories,47,L,Turquoise,4.5,Next Day Air,Yes,Yes,3,Venmo
153,Shirt,Clothing,85,S,Brown,4.3,Express,Yes,Yes,42,Venmo
154,Hoodie,Clothing,55,M,Maroon,3.2,Standard,Yes,Yes,22,Debit Card
155,Dress,Clothing,98,M,Charcoal,3.6,Next Day Air,Yes,Yes,21,Venmo
156,Socks,Clothing,77,S,Olive,4.3,Free Shipping,Yes,Yes,21,Bank Transfer
157,Shorts,Clothing,26,M,Lavender,4,Standard,Yes,Yes,40,Debit Card
158,Hat,Accessories,68,S,Yellow,3,Next Day Air,Yes,Yes,1,Bank Transfer
159,Shirt,Clothing,73,XL,Teal,4.1,Standard,Yes,Yes,50,Bank Transfer
160,Gloves,Accessories,27,M,Charcoal,3.8,Store Pickup,Yes,Yes,39,Bank Transfer
161,Gloves,Accessories,23,M,Orange,4.6,Free Shipping,Yes,Yes,34,Venmo
162,Backpack,Accessories,49,M,Olive,3,Express,Yes,Yes,29,Venmo
163,Sunglasses,Accessories,74,M,Turquoise,3,Store Pickup,Yes,Yes,31,PayPal
164,Skirt,Clothing,67,M,Purple,3.4,Standard,Yes,Yes,8,Debit Card
165,Handbag,Accessories,65,S,Purple,2.6,Free Shipping,Yes,Yes,5,Credit Card
166,Handbag,Accessories,60,S,Yellow,2.8,Store Pickup,Yes,Yes,7,Cash
167,Sneakers,Footwear,31,XL,Indigo,4,Store Pickup,Yes,Yes,30,Cash
168,Gloves,Accessories,27,M,Green,4,Express,Yes,Yes,14,Credit Card
169,Shoes,Footwear,80,M,Magenta,3,Express,Yes,Yes,5,Cash
170,Jacket,Outerwear,30,S,Gold,3.3,Standard,Yes,Yes,3,PayPal
171,Shirt,Clothing,25,M,Maroon,2.6,Store Pickup,Yes,Yes,46,Venmo
172,Shorts,Clothing,35,M,Blue,3.6,Store Pickup,Yes,Yes,4,Credit Card
173,Jewelry,Accessories,67,M,Violet,3.9,Next Day Air,Yes,Yes,42,Credit Card
174,Hat,Accessories,46,M,Turquoise,3.4,Standard,Yes,Yes,30,Cash
175,Shoes,Footwear,35,L,Brown,3.5,Express,Yes,Yes,37,Venmo
176,Coat,Outerwear,86,L,Violet,2.8,Next Day Air,Yes,Yes,2,Bank Transfer
177,Backpack,Accessories,81,L,Black,2.7,Next Day Air,Yes,Yes,30,Credit Card
178,Hoodie,Clothing,42,L,Magenta,3.7,Next Day Air,Yes,Yes,47,Bank Transfer
179,Skirt,Clothing,43,L,Lavender,4.3,2-Day Shipping,Yes,Yes,21,PayPal
180,Boots,Footwear,31,M,Violet,4.9,Store Pickup,Yes,Yes,9,Bank Transfer
181,Sandals,Footwear,81,L,Green,3.3,Store Pickup,Yes,Yes,12,Debit Card
182,Pants,Clothing,61,M,Beige,4.7,Next Day Air,Yes,Yes,4,Bank Transfer
183,Gloves,Accessories,96,XL,Purple,2.8,Store Pickup,Yes,Yes,10,Debit Card
184,Skirt,Clothing,29,XL,Beige,3.6,2-Day Shipping,Yes,Yes,26,Credit Card
185,Sneakers,Footwear,33,L,Cyan,3,Express,Yes,Yes,40,Cash
186,T-shirt,Clothing,32,XL,Silver,4.5,Store Pickup,Yes,Yes,34,Bank Transfer
187,Backpack,Accessories,56,S,Lavender,2.9,Standard,Yes,Yes,31,Debit Card
188,Shoes,Footwear,94,S,Purple,3.3,Store Pickup,Yes,Yes,1,Bank Transfer
189,Hoodie,Clothing,53,M,Pink,3.1,Express,Yes,Yes,5,Bank Transfer
190,Blouse,Clothing,82,M,Maroon,4.4,Next Day Air,Yes,Yes,4,Credit Card
191,Coat,Outerwear,70,XL,Beige,3,Free Shipping,Yes,Yes,48,Venmo
192,Hat,Accessories,76,M,Gray,3.9,Free Shipping,Yes,Yes,29,Cash
193,Shoes,Footwear,29,L,Turquoise,2.9,Express,Yes,Yes,12,PayPal
194,Belt,Accessories,100,S,Silver,3,Standard,Yes,Yes,29,Venmo
195,Backpack,Accessories,94,M,Olive,3.1,Express,Yes,Yes,15,Debit Card
196,Jacket,Outerwear,25,M,Magenta,4.3,Free Shipping,Yes,Yes,34,Credit Card
197,Boots,Footwear,88,M,Lavender,3.9,Next Day Air,Yes,Yes,41,Credit Card
198,Scarf,Accessories,78,M,Black,3.2,2-Day Shipping,Yes,Yes,41,Credit Card
199,Jewelry,Accessories,45,M,Turquoise,4.8,Standard,Yes,Yes,39,Credit Card
200,Hat,Accessories,73,XL,Green,3.8,Express,Yes,Yes,32,Cash
201,Dress,Clothing,61,S,Teal,3.3,Next Day Air,Yes,Yes,29,Venmo
202,Blouse,Clothing,22,S,Beige,4.3,Free Shipping,Yes,Yes,15,Bank Transfer
203,Hat,Accessories,38,L,Magenta,2.7,Express,Yes,Yes,33,Venmo
204,Scarf,Accessories,38,S,Yellow,3.2,Next Day Air,Yes,Yes,18,Bank Transfer
205,Sneakers,Footwear,100,M,Yellow,4,Store Pickup,Yes,Yes,35,Cash
206,Shirt,Clothing,64,M,Silver,3,Standard,Yes,Yes,25,PayPal
207,T-shirt,Clothing,55,L,Silver,4.2,Free Shipping,Yes,Yes,6,Venmo
208,Gloves,Accessories,91,M,Silver,2.9,Express,Yes,Yes,17,Bank Transfer
209,Skirt,Clothing,38,M,Gold,4.1,Store Pickup,Yes,Yes,17,Credit Card
210,Sandals,Footwear,97,S,Olive,3.2,Store Pickup,Yes,Yes,44,Cash
211,Jacket,Outerwear,22,L,Teal,3,2-Day Shipping,Yes,Yes,6,PayPal
212,Skirt,Clothing,92,L,Maroon,4.2,2-Day Shipping,Yes,Yes,45,Debit Card
213,Handbag,Accessories,84,L,Blue,4.2,Express,Yes,Yes,7,Debit Card
214,Handbag,Accessories,93,L,Peach,4.4,Store Pickup,Yes,Yes,11,Debit Card
215,Jacket,Outerwear,50,L,Blue,4.2,Next Day Air,Yes,Yes,41,Cash
216,Scarf,Accessories,64,S,Orange,2.8,2-Day Shipping,Yes,Yes,24,PayPal
217,Shorts,Clothing,61,L,Yellow,3.7,Free Shipping,Yes,Yes,21,Venmo
218,Sunglasses,Accessories,48,M,Purple,3.5,Next Day Air,Yes,Yes,24,Bank Transfer
219,T-shirt,Clothing,45,S,Magenta,2.9,Store Pickup,Yes,Yes,8,Credit Card
220,Belt,Accessories,88,M,Cyan,3,Free Shipping,Yes,Yes,12,Cash
221,Sneakers,Footwear,57,S,Indigo,3.7,Express,Yes,Yes,48,Debit Card
222,Hat,Accessories,68,XL,Magenta,4.4,Store Pickup,Yes,Yes,6,Bank Transfer
223,Gloves,Accessories,94,XL,Gray,4.5,2-Day Shipping,Yes,Yes,14,PayPal
224,Pants,Clothing,41,M,Turquoise,4.8,Free Shipping,Yes,Yes,34,PayPal
225,Socks,Clothing,83,S,Beige,2.9,Free Shipping,Yes,Yes,12,Cash
226,Jacket,Outerwear,22,M,Olive,3.2,Next Day Air,Yes,Yes,11,Bank Transfer
227,Shoes,Footwear,74,L,Violet,3.3,Free Shipping,Yes,Yes,5,PayPal
228,Jeans,Clothing,90,M,Turquoise,4.2,Standard,Yes,Yes,25,Venmo
229,Socks,Clothing,79,M,White,2.9,Store Pickup,Yes,Yes,11,Credit Card
230,Sandals,Footwear,28,S,Silver,4.6,Next Day Air,Yes,Yes,27,PayPal
231,Scarf,Accessories,88,L,Olive,4.1,Standard,Yes,Yes,43,Credit Card
232,Blouse,Clothing,26,M,Blue,3.1,2-Day Shipping,Yes,Yes,18,Debit Card
233,Jewelry,Accessories,27,L,Purple,4.2,Express,Yes,Yes,32,Bank Transfer
234,Sweater,Clothing,83,XL,Yellow,4.5,Next Day Air,Yes,Yes,27,Bank Transfer
235,Gloves,Accessories,39,S,Silver,3.7,Next Day Air,Yes,Yes,24,Credit Card
236,Sunglasses,Accessories,89,M,Cyan,3.7,Free Shipping,Yes,Yes,31,Debit Card
237,Coat,Outerwear,68,L,Green,3.4,Next Day Air,Yes,Yes,39,PayPal
238,Dress,Clothing,90,M,Beige,3,Store Pickup,Yes,Yes,36,Debit Card
239,Skirt,Clothing,34,M,Peach,4.2,Free Shipping,Yes,Yes,5,Cash
240,Pants,Clothing,51,L,Yellow,2.9,Express,Yes,Yes,47,Credit Card
241,Sweater,Clothing,45,XL,Turquoise,3.5,Free Shipping,Yes,Yes,29,Bank Transfer
242,Hoodie,Clothing,88,M,Peach,4.1,Free Shipping,Yes,Yes,43,Venmo
243,Coat,Outerwear,85,L,Gray,4.3,Store Pickup,Yes,Yes,40,Debit Card
244,Jewelry,Accessories,100,M,Olive,2.8,2-Day Shipping,Yes,Yes,4,Debit Card
245,Belt,Accessories,42,S,Indigo,4.9,2-Day Shipping,Yes,Yes,39,PayPal
246,Sandals,Footwear,53,L,Charcoal,3.3,Next Day Air,Yes,Yes,45,Venmo
247,Sunglasses,Accessories,86,XL,Beige,3.2,Express,Yes,Yes,20,Venmo
248,Sweater,Clothing,66,XL,Brown,4.4,Standard,Yes,Yes,14,Debit Card
249,Belt,Accessories,100,M,Blue,4.8,Express,Yes,Yes,33,PayPal
250,Handbag,Accessories,47,S,Teal,4.2,Standard,Yes,Yes,18,Credit Card
251,Skirt,Clothing,25,L,Black,4,Express,Yes,Yes,9,Bank Transfer
252,Handbag,Accessories,51,XL,Gold,2.5,Standard,Yes,Yes,34,PayPal
253,Shorts,Clothing,41,M,Violet,3.9,Free Shipping,Yes,Yes,33,Venmo
254,Boots,Footwear,73,L,Cyan,4.9,2-Day Shipping,Yes,Yes,15,Bank Transfer
255,Sunglasses,Accessories,42,M,White,3.5,Store Pickup,Yes,Yes,4,PayPal
256,Scarf,Accessories,20,M,Charcoal,4.2,Free Shipping,Yes,Yes,25,Debit Card
257,Jewelry,Accessories,30,XL,Violet,4.7,Express,Yes,Yes,20,Credit Card
258,Handbag,Accessories,53,M,Red,4.5,Express,Yes,Yes,5,Credit Card
259,Gloves,Accessories,74,S,Lavender,2.8,Express,Yes,Yes,16,Cash
260,Jeans,Clothing,57,M,Gold,2.9,Standard,Yes,Yes,13,Debit Card
261,Hat,Accessories,57,S,Red,3.2,2-Day Shipping,Yes,Yes,11,Credit Card
262,Jeans,Clothing,77,L,Magenta,4.9,Standard,Yes,Yes,21,Credit Card
263,Pants,Clothing,40,M,Teal,3.7,Next Day Air,Yes,Yes,6,Debit Card
264,Shorts,Clothing,46,M,Purple,4.3,Store Pickup,Yes,Yes,29,Venmo
265,Pants,Clothing,78,S,Charcoal,3.9,Store Pickup,Yes,Yes,15,Cash
266,Backpack,Accessories,59,M,Gray,3.2,2-Day Shipping,Yes,Yes,17,Bank Transfer
267,Jewelry,Accessories,75,L,White,3.1,Express,Yes,Yes,32,Credit Card
268,Sweater,Clothing,54,M,Olive,3.9,2-Day Shipping,Yes,Yes,42,Venmo
269,Shoes,Footwear,42,M,Charcoal,2.6,Store Pickup,Yes,Yes,21,Cash
270,Blouse,Clothing,44,M,Charcoal,3.3,Next Day Air,Yes,Yes,9,Cash
271,Jeans,Clothing,52,XL,Orange,4.6,Free Shipping,Yes,Yes,16,Bank Transfer
272,Sunglasses,Accessories,69,XL,Yellow,4.6,Express,Yes,Yes,42,Credit Card
273,Jewelry,Accessories,26,M,Beige,4.4,2-Day Shipping,Yes,Yes,37,Debit Card
274,Coat,Outerwear,33,S,Silver,4.2,Express,Yes,Yes,32,Debit Card
275,Jewelry,Accessories,32,M,Indigo,3,Express,Yes,Yes,28,Cash
276,Backpack,Accessories,85,XL,Lavender,4,Express,Yes,Yes,13,Credit Card
277,Skirt,Clothing,30,XL,Turquoise,3.5,Express,Yes,Yes,11,Bank Transfer
278,Shirt,Clothing,29,M,Green,3,Store Pickup,Yes,Yes,36,Bank Transfer
279,Sweater,Clothing,95,M,Orange,3.7,Express,Yes,Yes,23,Debit Card
280,Sneakers,Footwear,69,L,Turquoise,4,Standard,Yes,Yes,37,Bank Transfer
281,Sandals,Footwear,69,S,Cyan,4.2,2-Day Shipping,Yes,Yes,21,Cash
282,Belt,Accessories,61,XL,Charcoal,2.5,Standard,Yes,Yes,22,Debit Card
283,Skirt,Clothing,94,M,Teal,3,2-Day Shipping,Yes,Yes,9,Cash
284,Sweater,Clothing,30,S,Maroon,3.2,Next Day Air,Yes,Yes,16,Venmo
285,Skirt,Clothing,45,M,Red,3.5,Standard,Yes,Yes,4,PayPal
286,Handbag,Accessories,39,XL,Yellow,4.8,Express,Yes,Yes,3,Debit Card
287,Jewelry,Accessories,51,L,Gray,2.6,Store Pickup,Yes,Yes,6,Debit Card
288,Scarf,Accessories,37,L,Blue,3.4,2-Day Shipping,Yes,Yes,18,Venmo
289,T-shirt,Clothing,62,M,Lavender,3.7,2-Day Shipping,Yes,Yes,34,Venmo
290,Coat,Outerwear,85,M,Yellow,4.5,2-Day Shipping,Yes,Yes,26,Credit Card
291,T-shirt,Clothing,33,M,Indigo,3.7,Standard,Yes,Yes,50,PayPal
292,Dress,Clothing,26,XL,Violet,3.3,Next Day Air,Yes,Yes,40,Bank Transfer
293,Shoes,Footwear,99,M,Green,4.7,Free Shipping,Yes,Yes,24,Cash
294,Handbag,Accessories,39,M,White,2.7,Express,Yes,Yes,33,PayPal
295,Skirt,Clothing,20,M,Gold,4.6,Store Pickup,Yes,Yes,19,Credit Card
296,Sunglasses,Accessories,42,M,Indigo,2.7,Store Pickup,Yes,Yes,24,Credit Card
297,Sandals,Footwear,74,S,Lavender,4.8,2-Day Shipping,Yes,Yes,19,Credit Card
298,Shoes,Footwear,26,XL,Purple,4.4,Standard,Yes,Yes,4,Credit Card
299,T-shirt,Clothing,53,M,Lavender,4,Standard,Yes,Yes,11,Venmo
300,Sneakers,Footwear,80,M,Maroon,3.2,Next Day Air,Yes,Yes,28,PayPal
301,Hat,Accessories,98,M,Teal,4.4,Store Pickup,Yes,Yes,24,PayPal
